Publishers,Game,Metascore
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Alien Shooter,81.0
Konami Digital Entertainment,Osiris: New Dawn,81.0
SEGA,Mr. Shifty,81.0
Transhuman Design,LARA CROFT AND THE TEMPLE OF OSIRIS,81.0
"SEGA, Feral Interactive (Mac)",140,81.0
Blazing Griffin,X3: Reunion,81.0
Tribute Games Inc.,Pixel Star,81.0
Tribute Games Inc.,Ripple Effect,81.0
Kyle Seeley,Mosaique Neko Waifus 4,81.0
Those Awesome Guys,Planetary Annihilation: TITANS,81.0
Ironward,X-COM: Enforcer,81.0
Kyle Seeley,MOTHERGUNSHIP,81.0
"United Label, CI Games",Magika Land of Fantasy,81.0
Bethesda Softworks,Worms Reloaded,81.0
"BioWare, Electronic Arts",The Jackbox Party Pack 7,81.0
Ubisoft,Hammerwatch,81.0
SEGA,Time of Dragons,81.0
Trendy Entertainment,Ace of Spades: Battle Builder,81.0
Ubisoft,Alien Breed 2: Assault,81.0
Image & Form Games,StarMade,81.0
Capcom,SPORE Galactic Adventures,81.0
IndiePub,Pretentious Game,81.0
Versus Evil,Sentinel,81.0
Capcom,STAR WARS: Squadrons,81.0
Ubisoft,Alter World,81.0
Q-Games Ltd.,Glista,81.0
Ubisoft,GUNS UP!,81.0
IndiePub,President Yukino,81.0
Blendo Games,Deadlings: Rotten Edition,81.0
Image & Form Games,Starship Annihilator,81.0
Cardboard Computer,The Room VR: A Dark Matter,81.0
Image & Form Games,Starseed Pilgrim,81.0
D3 PUBLISHER,Frozen Synapse,81.0
Cardboard Computer,The Room 4: Old Sins,81.0
Versus Evil,Sentinel 3: Homeworld,81.0
Unknown Worlds Entertainment,Prominence Poker,81.0
Capcom,Fate Seeker,81.0
Capcom,Fearless Fantasy,81.0
Quantic Dream,Eastern Exorcist,81.0
Creepy Jar,King Arthur's Gold,81.0
"CAPCOM Co., Ltd.",Spiritfarer: Farewell Edition,81.0
Capcom,Feed and Grow: Fish,81.0
Ubisoft,Nice Way,81.0
Red Barrels,Road 96,81.0
"Codemasters, Electronic Arts",Pixel Puzzles 2: Birds,81.0
"Route 59, Coconut Island Games, PLAYISM",George VS Bonny PP Wars,81.0
"CAPCOM Co., Ltd.",SpellForce 3 Reforced,81.0
Ubisoft,AMID EVIL,81.0
Moonana,LOCO Railroad,80.0
"Monochrome, Inc",Darksiders Genesis,80.0
Frontier Developments,ArcheAge,80.0
Frontier Developments,ArcheBlade,80.0
THQ Nordic,Bitslap,80.0
Activision,∀kashicverse -Malicious Wake-,80.0
Codename Entertainment Inc.,Men of War: Assault Squad,80.0
S2 Games,Untitled Goose Game,80.0
Funbox Media Ltd,Suits: A Business RPG,80.0
Ubisoft,Universe Sandbox Legacy,80.0
Acid Wizard Studio,Dex,80.0
Frozenbyte,The Sims 4,80.0
Frontier Developments,Armello,80.0
Rebellion,69 Mizuki Love,80.0
Acid Wizard Studio,Dicey Dungeons,80.0
Red Barrels,Hitman: Codename 47,80.0
Red Barrels,Hitman: Blood Money,80.0
THQ Nordic,BC Kings,80.0
Rebellion,Antenna,80.0
PLAYISM,Transport Defender,80.0
Xbox Game Studios,Sniper Ghost Warrior Contracts,80.0
PLAYISM,TransOcean 2: Rivals,80.0
Moonana,Locoland,80.0
Kenny Sun,Cute Puzzle,80.0
Acid Wizard Studio,Devil May Cry 4,80.0
Frozenbyte,The Surge,80.0
Activision,Combat Arms: Reloaded,80.0
THQ Nordic,Bayou Island - Point and Click Adventure,80.0
Square Enix,Estranged: The Departure,80.0
Bossa Studios,War Selection,80.0
Adult Swim Games,Demon Hunter 3: Revelation,80.0
GSC Game World,Supreme Commander: Forged Alliance,80.0
Transolar Games,Era Dream,80.0
Unreal Software,Defense Grid: The Awakening,80.0
Alientrap,10mg: Locked In,80.0
Doctor Entertainment AB,Insanity Clicker,80.0
Alientrap,11 Islands 2: Story of Love,80.0
Alientrap,12 Hours to Die,80.0
Unknown Worlds Entertainment,Astralis,80.0
Alientrap,Detective Girl of the Steam City,80.0
Gameloft,Overlord: Raising Hell,80.0
Gameloft,Oxenfree,80.0
Infernum Games GmbH,Call of Duty: Infinite Warfare,80.0
Milestone S.r.l.,G.A.C.K. - Gaming App Construction Kit,80.0
Milestone S.r.l.,G-senjou no Maou - The Devil on G-String,80.0
Unknown Worlds Entertainment,Prototype,80.0
Rake in Grass,Deus Ex: Mankind Divided - VR Experience,80.0
Rake in Grass,Detective Butler: Maiden Voyage Murder,80.0
"XSEED Games, Marvelous USA, Inc.",Magic Fluids,80.0
THQ Nordic,《古斯塔奥：帝國重生》Gustavo Kingdom Rebirth,80.0
Amanita Design,EZ2ON REBOOT : R,80.0
Amanita Design,Extravaganza Rising,80.0
Digital Confectioners,Earth 2160,80.0
TaleWorlds Entertainment,Pixel Worlds: MMO Sandbox,80.0
SEGA,DreadOut: Keepers of The Dark,80.0
"MidBoss, LLC.",//N.P.P.D. RUSH//- The milk of Ultraviolet,80.0
"MidBoss, LLC.","""Glow Ball"" - The billiard puzzle game",80.0
Ankama Games,Bolt Action,80.0
Ankama Games,BoltBreak,80.0
Devolver Digital,Yury,80.0
Devolver Digital,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,80.0
Crytek,Supraland,80.0
Aleksey Abramenko,The Cat and the Coup,80.0
Akupara Games,Space Pirates and Zombies,80.0
THQ Nordic,D.A.M.A.G.E,80.0
"CAPCOM Co., Ltd.",Chill,80.0
Adult Swim Games,Demon Zombie Outpost,80.0
THQ Nordic,D.A.T.A,80.0
Adult Swim Games,Demon's Rise - Lords of Chaos,80.0
Transolar Games,Er-Spectro,80.0
DrinkBox Studios,Bless Unleashed,80.0
DrinkBox Studios,Blacklight: Retribution,80.0
CorvusCorax_studio,Ring of Elysium,80.0
Square Enix,Bejeweled Twist,80.0
Transolar Games,Equivoque,80.0
Adult Swim Games,The Shivah,80.0
THQ Nordic,Just Cause 4 Reloaded,80.0
THQ Nordic,Kitrinos: Inside the Cube,80.0
THQ Nordic,Kitten Adventures in City Park,80.0
Adult Swim Games,The Shore,80.0
"Spike Chunsoft Co., Ltd.",Descenders,80.0
Adult Swim Games,The Signal From Tölva,80.0
Double Fine Productions,Sanctum 2,80.0
Double Fine Productions,Saints Row: The Third,80.0
Xbox Game Studios,Caligo,80.0
Double Fine Productions,Heavy Fire: Afghanistan,80.0
Double Fine Productions,Heavenly Bodies,80.0
THQ Nordic,Knight Fighter,80.0
THQ Nordic,Knight Squad,80.0
Mixtvision,Forward to the Sky,80.0
"XSEED Games, Marvelous USA, Inc.",Mistress of Maids: First Castle,80.0
"XSEED Games, Marvelous USA, Inc.",Merchant of the Skies,80.0
Akupara Games,Gamer Simulator,80.0
Akupara Games,Gamers Unknown Survival,80.0
Frontier Developments,ARMA: Cold War Assault,80.0
Mixtvision,Freefall 3050AD,80.0
800 North and Digital Ranch,EverQuest II,80.0
1939 Games,Monster Hunter Stories 2: Wings of Ruin,80.0
Rockstar Games,Clustertruck,80.0
Night School Studio,Pixel Puzzles: Japan,80.0
"KOEI TECMO GAMES CO., LTD.",Forts,80.0
"Nicalis, Inc.",Ray Attack,80.0
"Nicalis, Inc.",Ravenmark: Scourge of Estellion,80.0
Ubisoft,Beholder,80.0
"Standing Stone Games, LLC",Five Nights at Freddy's 3,80.0
Nexon America Inc.,NosTale - Anime MMORPG,80.0
Joakim Sandberg,Apex Construct,80.0
Chronic Logic,Captain Morgane and the Golden Turtle,80.0
Chronic Logic,Capybara Spa,80.0
KOG Games,Game of Thrones - A Telltale Games Series,80.0
Riot Forge,Empire of the Gods,80.0
Riot Forge,Empire of Angels IV,80.0
Kakao Games Europe B.V.,8BitMMO,80.0
1C Entertainment,Onward,80.0
"Square Enix, Feral Interactive (Mac)",Zombie Defense,80.0
"Jackbox Games, Inc.",Medal of Honor: Above and Beyond,80.0
Eugen Systems,Radio Commander,80.0
Eugen Systems,Radical Spectrum: Volume 1,80.0
Eugen Systems,RAD,80.0
Noumenon Games,Anthropocene Epoch,80.0
CI Games,This Is the Police,80.0
Square Enix,Throne of Lies: Medieval Politics,80.0
Freebird Games,CUCKOLD SIMULATOR: Life as a Beta Male Cuck,80.0
Freebird Games,Cubico,80.0
Freebird Games,Culpa Innata,80.0
Night School Studio,Pixel Puzzles: UndeadZ,80.0
1939 Games,MONMUSU,80.0
Rogueside,Sentience: The Android's Tale,80.0
Stress Level Zero,Estellium Legends,80.0
Carbon Games,Wreckfest,80.0
Carbon Studio,Labirint,80.0
Stoic Sudio,The Culling Of The Cows,80.0
Stoic Sudio,The Dark Eye: Chains of Satinav,80.0
Stoic Sudio,The Dark Eye: Memoria,80.0
10tons Ltd,Aery - Broken Memories,80.0
10tons Ltd,Aery - Calm Mind,80.0
10tons Ltd,Aery - Calm Mind 2,80.0
10tons Ltd,Aery - Dreamscape,80.0
（Hong Kong）GKD,Aperture Hand Lab,80.0
Carlsen Games,九劫曲：诅咒之地 NINE TRIALS,80.0
Two Tribes Publishing,Ninja Stealth 3,80.0
11 bit studios,BlazBlue: Chronophantasma Extend,80.0
Stardock Entertainment,One Manga Day,80.0
11 bit studios,Blitzkrieg 2 Anthology,80.0
Ubisoft,Alien Rage - Unlimited,80.0
JoyMasher,Aqua Rally,80.0
Ubisoft,Aliens: Fireteam Elite,80.0
Twisted Tree,Darkfall Unholy Wars,80.0
Twisted Tree,Darkarta: A Broken Heart's Quest Collector's Edition,80.0
Stardock Entertainment,One Finger Death Punch 2,80.0
Stardock Entertainment,One Drop Bot,80.0
Strategy First,Ultimate Summer,80.0
Focus Entertainment,Xenonauts,80.0
Stardock Entertainment,Kamboja,80.0
Stardock Entertainment,Kamasutra Connect : Sexy Hentai Girls,80.0
Stress Level Zero,ESTEN,80.0
Rogueside,Chowdertwo,80.0
Ubisoft,Deus Ex: The Fall,80.0
Frogwares,The Pasture,80.0
"2K, Feral Interactive (Mac)",Psychonauts,80.0
Naked Sky Entertainment,Hentai vs Virus: I Am Waifu,80.0
OVALIS INVESTMENTS LIMITED,Sakura Swim Club,80.0
Octoshark Studios,Second Extinction,80.0
Frictional Games,>observer_,80.0
Frictional Games,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,80.0
Frictional Games,Bit Heroes,80.0
NTTGame,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,80.0
Electronic Arts,Lethal League Blaze,80.0
Electronic Arts,Let's Draw,80.0
Electronic Arts,LEGO Star Wars III - The Clone Wars,80.0
Overhype Studios,Broken Sword 5 - the Serpent's Curse,80.0
Rake in Grass,Destiny of Ancient Kingdoms,80.0
Overhype Studios,Budget Cuts,80.0
NEOWIZ,Dead Warrior Tribute,80.0
"CAPCOM Co., Ltd.",STAR WARS Jedi Knight II - Jedi Outcast,80.0
505 Games,Intralism,80.0
Overhype Studios,Bulletstorm: Full Clip Edition,80.0
Ysbryd Games,Röki,80.0
Ysbryd Games,Rogun Arena,80.0
505 Games,Master Levels for Doom II,80.0
505 Games,She Will Punish Them,80.0
YC Games,Blood Bowl 2,80.0
Remedy Entertainment,Yakuza 0,80.0
Xbox Game Studios,UnEpic,80.0
Electronic Arts,Beyond Polaris Guardian,80.0
Electronic Arts,Beyond Minimalism,80.0
Electronic Arts,Beyond Mankind: The Awakening,80.0
Electronic Arts,ONRAID,80.0
Electronic Arts,One Piece Pirate Warriors 3,80.0
iNK Stories,Real Man Got 100 | 是男人上100层,80.0
Codebrush Games,911 Operator,80.0
iNK Stories,Real Farm,80.0
frecle,Press Ctrl,80.0
Neon Doctrine,Block Destruction,80.0
frecle,President for a Day - Floodings,80.0
"1C Entertainment, 1C-SoftClub",A Random Maze 某个迷宫,80.0
Clever Plays,Airplane Mode,80.0
Neon Doctrine,BLOCK CAT SPACE GOLF,80.0
Freedom Games,9th Company: Roots Of Terror,80.0
Freedom Games,9th Dawn III,80.0
CD PROJEKT RED,Leaf Blower Revolution - Idle Game,80.0
CD PROJEKT RED,Lead and Gold: Gangs of the Wild West,80.0
Freedom Games,A Bastard's Tale,80.0
Freedom Games,A Blind Legend,80.0
Reperio Studios,Bus Simulator 18,80.0
"Freedom Games, Maple Whispering Limited",Visibility,80.0
"Freedom Games, Maple Whispering Limited",Visitors,80.0
"Freedom Games, Maple Whispering Limited",Vitrum,80.0
2K,Demon Hunter: Chronicles from Beyond,80.0
"Nupixo Games, WhisperGames",AIRHEART - Tales of broken Wings,80.0
Tribute Games Inc.,Blooming Nightshade,80.0
"Nupixo Games, WhisperGames",AirMech Command,80.0
Tribute Games Inc.,Bloody Streets,80.0
NeocoreGames,Aliens versus Predator Classic 2000,80.0
Electronic Arts,Pyre,80.0
Zillion Whales,Arkham Horror: Mother's Embrace,80.0
Zillion Whales,ARMA: Combat Operations,80.0
"2K, Aspyr (Mac)",NGU IDLE,80.0
NEOWIZ,Sniper Art of Victory,80.0
Capybara Games,Lost Remnant: The End Tides,80.0
Degica,Party Panic,80.0
Wadjet Eye Games,Medievalien,80.0
"Grey Box, Six Foot",FINAL FANTASY XII THE ZODIAC AGE,80.0
Shawn McGrath,Disc Golf Adventure VR,80.0
Versus Evil,Fernbus Simulator,80.0
Curve Games,The Legend of Crystal Valley,80.0
Curve Games,The Legend of Heroes: Trails of Cold Steel II,80.0
IO Interactive A/S,Magicite,80.0
Terry Cavanagh,In Death,80.0
Terry Cavanagh,Impulse of War,80.0
Wadjet Eye Games,Meeple Station,80.0
Messhof,Fastigium,80.0
BANDAI NAMCO Entertainment,Cube World,80.0
SkyGoblin,Blight of the Immortals,80.0
WeirdBeard,404Sight,80.0
Paradox Interactive,Toy Soldiers,80.0
Konami Digital Entertainment,METRO CONFLICT: THE ORIGIN,80.0
SkyGoblin,BLIK,80.0
Thunderful Publishing,Alice's Jigsaw. Wonderland Chronicles,80.0
MOVE ON USA CO.,Eternal Card Game,80.0
Hello Games,MiniDrivers,80.0
Hello Games,Minimalist Space War,80.0
"Arcen Games, LLC",All Our Asias,80.0
Hemisphere Games,Botology,80.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Trusty Brothers,80.0
Versus Evil,LumberQwaxes,80.0
"Data Realms, LLC",DDraceNetwork,80.0
Versus Evil,LUMBERMANCER,80.0
BANDAI NAMCO Entertainment,Talvisota - Winter War,80.0
Curve Games,Love on Paper,80.0
BANDAI NAMCO Entertainment,Project Wingman,80.0
Curve Games,Love or Loved - A Bullet For My Valentine,80.0
Bethesda Softworks,Cell to Singularity - Evolution Never Ends,80.0
Application Systems Heidelberg,Omega-Altro,80.0
BANDAI NAMCO Entertainment,Nexuiz,80.0
Application Systems Heidelberg,Omegalodon,80.0
M2H,Adorables,80.0
The Voxel Agents,Kick Them Out!!!,80.0
BANDAI NAMCO Entertainment,KRUM - Edge Of Darkness,80.0
The Voxel Agents,kicker,80.0
Paradox Interactive,TowerFall Ascension,80.0
Pixonic,Air Threat,80.0
Thomas Happ Games LLC,Bleed,80.0
SEGA,LEGO MARVEL's Avengers,80.0
Bethesda Softworks,Worms Clan Wars,80.0
Asteroid Base,Year Walk,80.0
"Masthead Studios Ltd, Thegamewallstudios, Gamigo AG",Labyrinthine,80.0
Warner Bros. Interactive Entertainment,Neon Beats,80.0
Defiant Development,Shillelagh,80.0
Defiant Development,Shin Megami Tensei III Nocturne HD Remaster,80.0
Quantic Dream,ELEX,80.0
Devolver Digital,Animal Shelter,80.0
Devolver Digital,Animal Rivals,80.0
Bethesda Softworks,Worms Revolution,80.0
Cyan Worlds Inc,Anima Forest,80.0
SEGA,觅长生,80.0
SEGA,X Rebirth,80.0
SEGA,WWE 2K19,80.0
SEGA,Supreme Commander 2,80.0
Degica,Party Hard 2,80.0
Devolver Digital,Teleglitch: Die More Edition,80.0
"Descendent Studios, Fever Pitch Studios",Twisted: A Dark Fairytale,80.0
SEGA,Tales of Symphonia,80.0
Asteroid Base,Yesterday Origins,80.0
Those Awesome Guys,Planetbase,80.0
Bithell Games,Braverz,80.0
Warner Bros. Interactive Entertainment,Until You Fall,80.0
Blazing Griffin,Plants vs. Zombies: Battle for Neighborville,80.0
GungHo Online Entertainment America,Nether: Resurrected,80.0
Thomas Happ Games LLC,Blood Code,80.0
Teeworlds Team,Warlock - Master of the Arcane,80.0
Thunderful Publishing,Alice's Adventures - Hidden Object. Wimmelbild,80.0
Team17,Will To Live Online,80.0
Bethesda Softworks,Freestyle 2: Street Basketball,80.0
Paradox Interactive,World of Goo,80.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",Aim Lab,80.0
Paradox Interactive,Worms Armageddon,80.0
AtomTeam,The Journey Down: Chapter Two,80.0
Bethesda Softworks,Friday the 13th: The Game,80.0
Piranha Games Inc.,One Way Heroics,80.0
HeR Interactive,Gem Master,80.0
Pearl Abyss,Temtem,80.0
Team17 Digital Ltd,Armoured Alliance,80.0
Warner Bros. Interactive Entertainment,Urban Rivals,80.0
Curve Games,Love on Beach,80.0
"Arcen Games, LLC",All Over,80.0
Daedalic Entertainment,War Builder League,80.0
Microids,Tale of Toast,80.0
Team17,Alpha Polaris : A Horror Adventure Game,80.0
WildTangent,oO,80.0
Slitherine Ltd.,Futuridium EP Deluxe,80.0
Team17,Alpha Kimori 1,80.0
Antiidelay,Obulis,80.0
Devolver Digital,Portal,80.0
Wired Productions,Scheming Through The Zombie Apocalypse: The Beginning,80.0
Hoplon,Legend of Grimrock,80.0
Viva Meda,Cowbots and Aliens,80.0
Daedalic Entertainment,Runaway: A Twist of Fate,80.0
Versus Evil,Lumexa,80.0
Antiidelay,Observation,80.0
Antiidelay,Oasis VR,80.0
Daedalic Entertainment,Rune Classic,80.0
Viva Meda,Cowboy,80.0
Antiidelay,Object N,80.0
Viva Meda,Cowboy : Attack of Wild Animal,80.0
Microids,Hentai Temple,80.0
Daedalic Entertainment,War in a Box: Paper Tanks,80.0
Antiidelay,Obscure II (Obscure: The Aftermath),80.0
"Lion Games Co., Ltd.",Tiny and Big: Grandpa's Leftovers,80.0
Vlambeer,Victor Vran ARPG,80.0
Pocketwatch Games,NUTS,80.0
Slitherine Ltd.,DRAG Outer Zones,80.0
Versus Evil,Lumiland,80.0
Team17,Amborettio,80.0
Pocketwatch Games,Nubarron: The adventure of an unlucky gnome,80.0
Application Systems Heidelberg,Get-A-Grip Chip,80.0
Skybound Games,Yooka-Laylee,80.0
"LucasArts, Lucasfilm, Disney",Trine 4: The Nightmare Prince,80.0
"LucasArts, Lucasfilm, Disney",UNDEFEATED,80.0
Devolver Digital,MMORPG Tycoon 2,80.0
Devolver Digital,MISTOVER,80.0
WildTangent,Onikira - Demon Killer,80.0
The Knights of Unity,Control Ultimate Edition,80.0
The Knights of Unity,Continent of the Ninth Seal,80.0
Beamdog,Abyss,80.0
Application Systems Heidelberg,Getaway Mayhem,80.0
Beamdog,ABYSS CRAWLERS plus,80.0
Team17,Ambre - a heartbreaking kinetic novel,80.0
Curve Games,House Builder,80.0
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",听见我的心 Listen to My Heart,80.0
"CAPCOM Co., Ltd.",SPORE Creepy & Cute Parts Pack,79.0
HeR Interactive,Gem Deeps,79.0
Ziggurat,兽耳攻略 - TFK Faculty,79.0
Nimbly Games,ARK -the lost fairytale-,79.0
Frogmind,Boxing School,79.0
Daedalic Entertainment,Lucifer Within Us,79.0
Daedalic Entertainment,Lucid Dream,79.0
Phoenix Online Publishing,Miniturn,79.0
Frogmind,Break Space: Out of Bounds,79.0
HyperReuts,Governor of Poker 3,79.0
"Team17, Yooreka Studio (China)",Race The Sun,79.0
Square Enix,Robot vs Birds Zombies,79.0
Flippfly LLC,Realities,79.0
OP Productions LLC,Might & Magic: Heroes VI,79.0
Team17 Digital Ltd,When the Darkness comes,79.0
Ubisoft,Amazing Frog?,79.0
Robot Entertainment,Resident Evil 0,79.0
Puppygames,Dream Ending,79.0
Ubisoft,Amnesia: Rebirth,79.0
2K,Nidhogg,79.0
"Codemasters, Electronic Arts",RPG MO,79.0
"ustwo games, PID Games",Sakura Magical Girls,79.0
Deep Silver,MU Legend,79.0
Marvelous,A Cheesy Game,79.0
Vertigo Gaming Inc.,The Harrowed,79.0
Phoenix Online Publishing,MinosMaze - The Minotaur's Labyrinth,79.0
Vertigo Gaming Inc.,The Haunting of Billy Classic,79.0
505 Games,Apple Hopper,79.0
Vertigo Gaming Inc.,The Herbalist,79.0
Strategy First,Battles of the Ancient World,79.0
Ninja Kiwi,Bloons TD 5,79.0
505 Games,Apple Bang!,79.0
505 Games,Apperception,79.0
Nimbly Games,Armor Clash 1 Remake [RTS],79.0
2K,Monsters' Den Chronicles,79.0
505 Games,Apparition,79.0
Capcom,Spyro Reignited Trilogy,79.0
Kyle Pulver,Black Lazar,79.0
Nimbly Games,Armikrog,79.0
3D Realms,The Curse of Monkey Island,79.0
Humble Games,Pingers,79.0
Other Ocean Group,"Sir, You Are Being Hunted",79.0
Warner Bros. Interactive Entertainment,Lovely Planet,79.0
Kyle Pulver,Black Mirror III,79.0
Suspicious Developments,HOARD,79.0
Marvelous,A Christmas Peril,79.0
"CAPCOM Co., Ltd.",State of Decay,79.0
505 Games,Appease the Spider,79.0
Ubisoft,Bassline Sinker,79.0
2K,MonsterTerritory,79.0
Erik Svedäng AB,MonteCrypto: The Bitcoin Enigma,79.0
1C Entertainment,There Was A Caveman,79.0
1C Entertainment,Therian Saga,79.0
Lag Studios,TrackMania² Stadium,79.0
Erik Svedäng AB,Moons of Madness,79.0
Nordcurrent Labs,Aqua Lungers,79.0
Fast Travel Games,Political Fight Club,79.0
Erik Svedäng AB,Monsters' Den: Book of Dread,79.0
Dear Villagers,Existensis,79.0
Nordcurrent Labs,Aqua Boy,79.0
CI Games,Thief: Deadly Shadows,79.0
Starbreeze Publishing AB,Medieval Monarch,79.0
Kalypso Media Digital,8-Bit Armies,79.0
Kalypso Media Digital,8BitBoy,79.0
Joey Drew Studios,BEEP,79.0
Nordcurrent Labs,Aqua Moto Racing Utopia,79.0
New Blood Interactive,Abyss Odyssey,79.0
Daedalic Entertainment,Ball 3D,79.0
"KOEI TECMO GAMES CO., LTD.",Foundation,79.0
"PlayWay S.A., Console Labs S.A.",ZULA LatinoAmerica,79.0
Rockstar Games,SOULCALIBUR VI,79.0
Playbrains,All Cows In,79.0
Focus Home Interactive,HoCWar,79.0
Hitchcock Games,RUINER,79.0
"Lucasfilm, LucasArts, Disney",Turbo Pug,79.0
Fabled Game,Groove Fit Kingdom!,79.0
Fabled Game,Groove Balls,79.0
"BANDAI NAMCO Entertainment, FromSoftware, Inc",The Walking Dead,79.0
Ubisoft,Boom,79.0
kChamp Games,The LEGO NINJAGO Movie Video Game,79.0
Fabled Game,Groov,79.0
"The Arcade Crew, CE-Asia",Stardom 3,79.0
Fatshark,Alpha Protocol,79.0
Dear Villagers,INCARNA: R•AI•D,79.0
Housemarque,Pikuniku,79.0
"FYQD-Studio, PLAYISM",Cat Burglar: A Tail of Purrsuit,79.0
Awesome Games Studio,Anomaly Korea,79.0
Awesome Games Studio,#CuteSnake 2,79.0
Electronic Arts,Turbo Pug 3D,79.0
Awesome Games Studio,#CuteSnake,79.0
Awesome Games Studio,#Archery,79.0
Electronic Arts,Star Fetchers,79.0
Bedtime Digital Games,Assassin’s Creed Rogue,79.0
NetEase Games,Dead Rising 3 Apocalypse Edition,79.0
NeocoreGames,THE GAME OF LIFE,79.0
Telltale,Konung 2,79.0
Telltale,Knytt Underground,79.0
Telltale,Burgers,79.0
Housemarque,PIPE by BMX Streets,79.0
Nik Nak Studios,Ironsight,79.0
Cloudhead Games ltd.,Bladestar,79.0
Cloudhead Games ltd.,BLADESTORM: Nightmare,79.0
Nolla Games,Realm Grinder,79.0
2K,BONEWORKS,79.0
META Publishing,Nancy Drew: The Haunted Carousel,79.0
NeocoreGames,The Four Kings Casino and Slots,79.0
Wales Interactive,Twinsen's Little Big Adventure Classic,79.0
NeocoreGames,The Guild 3,79.0
Wales Interactive,Twelve Minutes,79.0
META Publishing,Nancy Drew: The Final Scene,79.0
Puppygames,Dream Chamber,79.0
META Publishing,Nancy Drew: The Creature of Kapu Cave,79.0
Landfall,#KILLALLZOMBIES,79.0
WB Games,Imperator: Rome,79.0
"Proletariat, Inc.",Total War Battles: KINGDOM,79.0
id Software,Absolute Drift,79.0
PlayStation PC LLC,Dragon Age: Origins,79.0
Yendis Entertainment Pty,Need for Speed Payback,79.0
Untold Tales,Project:Solace,79.0
"CAPCOM Co., Ltd.",Escape Machines,79.0
Mode 7,Dungeon Kingdom: Sign of the Moon,79.0
Afterthought LLC,Worms Ultimate Mayhem,79.0
Microids,Anno Online,79.0
Team17,Escape the Mazes,79.0
Team17,Escape The Lost Kingdom: The Forgotten Pharaoh,79.0
The Irregular Corporation,Eurofighter Typhoon,79.0
Infini-Brain inc.,Watch_Dogs,79.0
Raw Fury,Gardener's Path,79.0
Raw Fury,Garden Tale,79.0
Application Systems Heidelberg,Microsoft Allegiance,79.0
Akupara Games,Kiteboarding Pro,79.0
Application Systems Heidelberg,Micro Platformer,79.0
Akupara Games,Kith - Tales from the Fractured Plateaus,79.0
Dotemu,Ludoria,79.0
Dotemu,Ludoku,79.0
Dotemu,Ludicrous Speed,79.0
Application Systems Heidelberg,MewnBase,79.0
Raw Fury,Garden Rescue: Christmas Edition,79.0
ROCKFISH Games,FINAL FANTASY XIII-2,79.0
TimeGate Studios,FEAST: Book One «Family Ties»,79.0
Boneloaf,ICARUS,79.0
Tiger Style,Project: Gorgon,79.0
SA Industry,RollerCoaster Tycoon: Deluxe,79.0
SEGA,Miscreated,79.0
Devolver Digital,First Contact,79.0
Devolver Digital,First Feudal,79.0
SCS Software,Phasmophobia,79.0
Panic Art Studios,Lobotomy Corporation | Monster Management Simulation,79.0
Question,Monster RPG 2,79.0
Microblast Games,Dragon Nest,79.0
Ubisoft Entertainment,AI: Rampage,79.0
Xbox Game Studios,Forager,79.0
Square Enix,Cat Go! Ultimate Challenge,79.0
Square Enix,Cat Girl,79.0
Team17,LEGO Jurassic World,79.0
Team17,LEGO Harry Potter: Years 1-4,79.0
Adult Swim Games,Lost Chronicles of Zerzura,79.0
THQ Nordic,Happy Room,79.0
Mode 7,Dungeon Lad,79.0
GSC Game World,DEAD OR ALIVE 5 Last Round: Core Fighters,79.0
Mode 7,Dungeon Kitty,79.0
Team17,LEGO City Undercover,79.0
Tiger Style,Project Skylab 2,79.0
Doctor Entertainment AB,ASTRONAUTILUS,79.0
Gravity Interactive,Red Lake,79.0
Torn Banner Studios,The Tiny Bang Story,79.0
Grapeshot Games,Anno 2070,79.0
Soldak Entertainment,Trasta,79.0
Untold Tales,Catching,79.0
Untold Tales,Cateau,79.0
Klei Entertainment,Aura Kingdom,79.0
Gearbox Publishing,Hyperdimension Neptunia Re;Birth1,79.0
Gears for Breakfast,Azur Lane Crosswave,79.0
Gears for Breakfast,b,79.0
"Anarteam, Plug In Digital",Chocolate makes you happy: Halloween,79.0
Curve Games,Homeworld Remastered Collection,79.0
Witch Beam,Big Pharma,79.0
Curve Games,Homefront: The Revolution,79.0
Kloonigames,Dear RED - Extended,79.0
Glowstick Entertainment,Despair,79.0
Curve Games,Crimson Ranch,79.0
Untold Tales,Project:Pong,79.0
Curve Games,CRIMSON METAL Classic 1999,79.0
Ctrl Alt Ninja Ltd.,Dimensions VIP,79.0
Ctrl Alt Ninja Ltd.,Dimensions: Story Mode,79.0
Ctrl Alt Ninja Ltd.,VRWorkout,79.0
Gearbox Publishing,2Dark,79.0
"Gaslamp Games, Inc.",Mark of the Ninja: Remastered,79.0
"Gaslamp Games, Inc.",Marine Sharpshooter II: Jungle Warfare,79.0
Something We Made,Last Regiment,79.0
Paradox Interactive,Nioh 2 – The Complete Edition,79.0
Wired Productions,Clutter IX: Clutter IXtreme,79.0
